country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,785,866,763,777,827,891,924,1010,864,1150,989,967,1000,1020,917,964,922,928,896,813,573,418,412,441,417,448,385,427,576,580,597,660,648,715,720,707,680,711,732,729,765,688,801,808,
Algeria,,,,,,,,,,,,232,261,305,319,330,367,399,477,586,579,611,771,808,776,786,862,828,850,820,856,884,884,868,819,839,798,805,821,864,866,856,904,949,948,974,1030,1070,1070,1150,1110,1140,1220,1240,1320,
Angola,,,,,,,,,,,,556,584,568,565,536,515,494,527,518,511,497,473,469,458,470,462,461,467,465,483,480,467,468,459,445,445,443,430,439,437,442,447,466,462,431,456,470,491,514,521,522,553,534,545,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480,,,,,,,,,,,,,,1530,1530,1580,1600,,,,,,,,
Argentina,,,,,,,,,,,,1380,1380,1410,1420,1380,1400,1420,1430,1480,1490,1430,1420,1420,1450,1360,1420,1480,1500,1440,1410,1430,1480,1470,1540,1540,1580,1610,1650,1660,1660,1560,1500,1590,1720,1710,1840,1850,1920,1850,1910,1930,1920,1950,2020,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180,2320,1200,652,420,511,562,594,610,594,656,657,618,657,698,843,865,973,1030,904,863,944,1030,1000,1020,
Australia,3060,3120,3170,3280,3350,3460,3550,3690,3760,3790,4060,3990,4040,4260,4290,4350,4410,4670,4630,4680,4740,4690,4820,4560,4650,4600,4620,4770,4700,5000,5060,4930,4960,5150,5090,5130,5390,5470,5550,5610,5640,5450,5570,5570,5600,5560,5710,5870,5960,5860,5790,5750,5570,5460,5330,5480
Austria,1550,1550,1680,1820,1860,1850,1900,1920,2050,2180,2420,2510,2630,2830,2730,2650,2870,2800,2890,3140,3070,2900,2830,2840,2950,3050,3060,3170,3200,3140,3240,3420,3250,3260,3230,3370,3580,3550,3610,3590,3570,3760,3770,3970,4010,4090,4080,4020,4030,3800,4050,3920,3890,3920,3760,3800
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170,3090,2460,2180,1950,1810,1510,1440,1490,1370,1400,1410,1410,1480,1540,1600,1560,1410,1520,1330,1280,1370,1470,1470,1500,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,,,,,,,,,,,,,,2060,2110,2100,2070,,,,,,,,
Bahrain,,,,,,,,,,,,6390,5970,8500,9010,8000,9580,8190,7840,8810,7790,8300,9070,8500,8830,9920,10300,9520,10500,10200,10600,10100,10800,11100,11600,11400,11100,12200,12400,11900,12000,11700,11500,11600,10900,11700,11600,11200,11300,10300,10200,9910,9660,10400,10600,
Bangladesh,,,,,,,,,,,,85.6,86.9,92.5,93.9,94.3,98,97.8,98.3,99.4,103,102,105,105,104,107,111,107,114,117,120,115,119,123,126,134,132,135,138,137,139,149,150,155,155,159,168,173,180,187,201,206,213,215,222,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,,,,,,,,,,,,,,1370,1420,1450,1450,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4470,4350,3620,3080,2620,2430,2500,2510,2470,2410,2460,2490,2550,2640,2750,2770,2970,2920,2930,2790,2900,3100,3220,2880,2930,
Belgium,2520,2570,2810,3040,3020,3120,3050,3180,3590,3880,4140,4100,4470,4720,4620,4320,4620,4590,4830,4980,4740,4420,4210,4160,4330,4470,4630,4730,4770,4800,4810,5010,5040,4900,5190,5270,5540,5520,5600,5610,5670,5630,5390,5590,5590,5560,5470,5340,5450,5200,5540,5090,4840,4990,4710,4690
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,,,,,,,,,,,,,,561,568,592,597,,,,,,,,
Benin,,,,,,,,,,,,371,380,380,379,381,360,364,368,365,364,353,356,355,354,361,354,348,347,338,334,328,324,320,316,313,353,355,340,345,289,298,310,317,321,313,359,379,377,384,397,397,400,406,417,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,281,311,314,355,,,,,,,,
Bolivia,,,,,,,,,,,,222,240,249,261,296,317,331,351,379,437,449,462,429,419,406,376,341,350,365,381,385,400,419,452,498,524,561,556,536,588,449,529,540,531,569,700,561,587,601,644,670,758,750,789,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,1440,1050,907,363,389,462,718,893,882,1150,1110,1170,1160,1270,1330,1400,1410,1580,1660,1740,1940,1830,1790,2190,
Botswana,,,,,,,,,,,,,,,,,,,,,,727,735,717,708,724,769,742,848,880,884,876,982,960,922,922,880,905,1000,1020,1040,1040,1040,1020,989,1010,1020,1040,1080,994,1070,1010,1120,1170,1250,
Brazil,,,,,,,,,,,,714,747,799,830,846,868,875,910,945,940,881,875,876,912,953,978,996,990,991,939,940,934,942,975,993,1030,1060,1070,1080,1070,1070,1090,1090,1140,1150,1180,1230,1290,1230,1350,1360,1400,1450,1480,
Brunei,,,,,,,,,,,,1310,1230,2320,3830,4580,5800,6040,5440,5470,6960,6490,6780,6960,7790,7940,6780,6760,5460,6160,6670,7330,7660,7170,6480,7560,7420,7490,7290,7270,7160,6490,6220,7090,6390,6070,8510,8610,9340,7930,8340,9830,9580,7500,8630,
