country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500
Albania,7890,7870,7850,7830,7810,7790,7770,7750,7730,7710,7690,7720,7750,7770,7800,7820,7810,7800,7790,7780,7760,7750,7740,7730,7720,7720
Algeria,16700,16600,16500,16400,16300,16200,16100,16100,16000,15900,15800,15700,15600,15500,15400,15400,16100,16900,17700,18400,19200,19300,19300,19400,19500,19600
Andorra,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Angola,610000,609000,607000,606000,605000,604000,602000,601000,600000,599000,597000,596000,595000,594000,592000,591000,590000,589000,587000,586000,585000,584000,582000,581000,580000,579000
Antigua and Barbuda,103,103,102,102,102,102,101,101,101,100,100,99.6,99.2,98.8,98.4,98,98,98,98,98,98,98,98,98,98,98
Argentina,348000,345000,342000,339000,336000,333000,330000,327000,324000,322000,319000,315000,312000,309000,305000,302000,299000,296000,292000,289000,286000,283000,280000,277000,274000,271000
Armenia,3350,3350,3350,3340,3340,3340,3340,3340,3330,3330,3330,3330,3330,3320,3320,3320,3320,3320,3310,3310,3310,3310,3310,3320,3320,3320
Australia,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1280000,1280000,1280000,1280000,1270000,1260000,1250000,1240000,1230000,1240000,1240000,1240000,1240000,1250000
Austria,37800,37800,37900,37900,38000,38100,38100,38200,38300,38300,38400,38400,38400,38500,38500,38500,38500,38500,38600,38600,38600,38600,38600,38700,38700,38700
Azerbaijan,8520,8560,8560,8580,8600,8620,8640,8660,8680,8700,8720,8730,8740,8750,8760,8770,9030,9300,9560,9820,10100,10300,10600,10900,11100,11400
Bahamas,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150
Bahrain,2.2,2.3,2.5,2.6,2.8,2.9,3.1,3.2,3.4,3.6,3.7,3.9,4,4.2,4.3,4.5,4.6,4.8,4.9,5.1,5.3,5.4,5.6,5.7,5.9,6
