country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,0.833,1.25,1.61,2.52,2.81,3.5,3.75,3.91,4.39
Albania,13.9,17.1,14.2,18.6,28.1,27.2,30.5,32.5,40.6,63.9,71.4,75.5,88.8,109,107,94
Algeria,46.8,48,49.7,48.7,45.5,45.9,52.5,54.1,62.6,63.2,69.3,81.7,109,148,143,139
Andorra,897,983,967,1340,942,862,890,1020,1300,1520,1630,1850,2100,2370,2360,2170
Angola,13.5,8.72,10.5,6.65,6.55,12.5,18.3,14.3,19.4,19.7,27.1,50.9,68.4,126,181,102
Antigua and Barbuda,233,227,246,264,278,281,266,267,279,291,305,351,397,409,403,490
Argentina,368,357,373,383,400,382,367,121,148,174,217,259,334,437,488,405
Armenia,7.97,8.16,7.36,10,9.63,7.07,11,10.6,13.9,16.3,23.6,33,48.3,63.5,56,54.2
Australia,1030,1150,1180,1050,1190,1150,1080,1240,1540,1920,2100,2220,2670,2880,2680,3250
Austria,2110,2050,1930,2020,2050,1820,1820,1950,2410,2790,2920,3040,3520,3980,3910,3840
Azerbaijan,4.33,6.02,6.15,5.04,5.62,5.64,5.9,5.96,7.21,10.5,13.6,20.8,36.7,45,65.4,67.3
Bahamas,335,353,396,458,497,523,524,556,582,633,635,804,805,829,815,791
Bahrain,336,336,353,330,343,336,354,386,428,444,475,485,513,565,540,634
Bangladesh,23.8,24.4,20.4,21.2,22.3,24.2,27.1,29.4,30.4,33.7,37.4,43,47.4,49.1,53.1,58
Barbados,306,318,322,347,372,396,429,459,456,472,498,543,560,628,494,652
Belarus,49.2,66.5,75,68.8,56.6,47.9,58.5,66.8,87.5,115,154,168,207,243,199,248
Belgium,1640,1680,1440,1480,1500,1380,1410,1530,2250,2680,2750,2690,3070,3560,3570,3450
Belize,74.1,58,63.7,62.3,61,69.5,88,87.2,95.4,96.5,105,113,133,138,154,150
Benin,8.11,8.24,6.87,7.74,8.3,6.94,8.58,7.64,11,11.9,13.4,14.3,16,17,18,15
Bhutan,12.9,19.2,24.4,25,38.2,40.9,39.3,58.5,37.3,34.9,44,56.2,73.8,80.9,78.5,94.2
Bolivia,25.6,28.8,29.6,33.3,36.7,36.9,36,37.5,30.7,32.6,38.6,41.3,44.4,55.6,58.4,60.6
Bosnia and Herzegovina,30,41.5,39.5,40.7,61.9,60.9,67.1,78.8,123,139,145,169,223,294,304,307
Botswana,65.3,65.6,77.7,71.3,75.5,94.4,126,145,180,346,311,291,386,407,442,446
Brazil,136,142,153,143,103,107,96.3,90.7,94.8,121,156,205,255,306,320,466
Brunei,375,519,515,482,458,477,432,439,488,558,582,598,662,754,710,748
Bulgaria,60.5,38.5,45.8,57.8,63.9,59.5,75.5,94.3,125,145,167,169,218,278,256,237
Burkina Faso,4.15,4.55,4.48,4.98,5.47,4.32,4.11,5.56,8.17,12.2,15.8,14.9,18,21.6,19.3,20.3
Burundi,3.01,2.87,2.41,2.33,2.08,2.01,2.3,2.01,1.65,3.44,4.67,6.17,6.65,6.81,6.72,7.91
Cambodia,3.21,7.43,5.57,3.29,3.23,3.81,5.27,6.58,8.42,9.26,7.22,7.99,10.3,12.7,15,16.8
Cameroon,5.86,5.97,6.1,5.15,5.45,5.53,6.78,8.56,10.8,10.4,10.6,10.8,11.9,13.1,15.7,18.2
Canada,1300,1290,1310,1300,1360,1470,1500,1560,1880,2130,2430,2730,3050,3260,3190,3680
Cape Verde,50.7,47.3,44.5,47.5,46,42,48.2,51.9,59.8,78.6,75.6,95.1,103,114,111,116
Central African Republic,4.86,3.48,4.05,3.4,3.9,4.13,3.82,4.39,4.72,4.9,4.42,4.84,5.72,6.16,6.25,6.44
Chad,4.14,4.55,4.04,3.77,3.84,4.49,4.81,5.59,8.09,8.45,10.5,7.83,6.6,6.04,5.61,7.65
Chile,127,142,156,163,158,169,159,157,134,167,201,249,295,337,382,456
China,10.7,12.3,13.7,14.8,15.8,16.6,16.8,19.4,22.1,26.6,31.2,38,53.7,78.2,100,118
Colombia,109,149,175,172,157,131,125,123,123,145,178,193,239,266,278,343
Comoros,13.5,12.3,10.5,8.82,7.98,5.47,4.17,6.95,9.46,11.8,13.4,15.4,19.1,23.2,12.6,22.3
"Congo, Dem. Rep.",0.19,0.14,0.27,0.23,0.659,0.543,0.31,0.27,1.16,1.42,2.19,2.78,3.7,6.46,7.48,6.7
"Congo, Rep.",14.5,15.5,14,14,13.5,12.5,11.6,11.8,13.5,18.4,24.6,31.7,34.7,38.7,31.8,33.8
Costa Rica,168,169,163,180,195,204,220,236,243,246,253,283,353,413,449,553
Cote d'Ivoire,8.56,10.6,11,10.8,9.9,8.35,5.98,6.93,7.68,9.35,7.74,8.51,13.6,17.1,12.7,12.9
Croatia,280,323,255,324,325,325,313,300,409,498,606,680,877,1040,944,905
Cuba,101,108,114,121,139,151,161,172,181,186,282,332,557,557,623,555
Cyprus,253,257,252,320,333,310,329,399,557,588,589,622,713,796,745,708
Czech Republic,340,366,334,360,347,326,363,473,598,687,769,839,972,1220,1260,1240
Denmark,2330,2370,2160,2190,2460,2190,2300,2550,3170,3690,3920,4240,4800,5390,5490,5470
Djibouti,19.2,17.9,20.9,26.1,33.2,29.6,26.9,27.4,33.6,29.3,43.2,43.9,53.9,56.1,65.5,59.8
Dominica,131,140,152,153,159,160,160,160,161,161,162,179,193,204,223,292
Dominican Republic,22.6,26.1,35,44.1,50.7,60.4,54.1,57.5,43.8,36.1,62.7,78,83.1,99.7,115,140
Ecuador,40.4,47.4,47.1,32.5,25.6,16.7,27,36.3,32.1,37.5,40.5,48.8,55.5,71.6,112,122
Egypt,17.4,19,22.7,26.3,29.4,31.8,30.7,29.6,23.4,23.8,26.8,33.3,34.9,42.7,44.9,46.1
El Salvador,40.7,55.3,59.9,71.6,72.9,79.8,82.3,85.5,86.5,93.4,106,126,122,128,137,146
Equatorial Guinea,12.4,13.9,21.1,23.2,18.2,21.5,38.6,114,82.7,108,135,185,260,418,612,681
Eritrea,4.04,2.89,3.84,4.03,3.88,4.33,4.83,3.68,3.63,3.78,3.6,3.83,4.09,5.39,5.09,5.74
Estonia,149,194,199,193,196,169,174,201,279,345,398,459,639,836,758,671
Ethiopia,1.6,1.61,1.8,1.99,2.1,2.85,3.23,2.87,3.43,3.43,4.14,4.61,6.7,7.29,8.33,8.41
Fiji,62.5,71.7,76.3,54,60.3,67.1,53.5,64.4,76.5,96.2,107,113,113,116,102,108
Finland,1440,1440,1330,1340,1330,1210,1280,1470,1920,2230,2370,2470,2780,3170,3050,2990
France,2180,2180,1940,1970,1950,1750,1770,1980,2490,2860,2980,3110,3510,3840,3770,3650
Gabon,51.6,60.5,46.8,54,41.1,43,44.8,44.4,67.2,73.2,69.4,81.5,103,115,127,160
Gambia,6.18,5.59,5.29,6.97,6.89,6.34,6.81,5.91,7.62,9.97,10.4,10.9,10.4,12.7,14.3,13.3
Georgia,1.51,5.36,10.6,8.88,6.65,7.61,9.54,10.3,11,14.8,23.6,30.9,33.4,51.8,55.9,64.2
Germany,2540,2540,2180,2180,2150,1900,1900,2060,2520,2710,2780,2860,3230,3610,3630,3600
Ghana,11.5,11.7,11.2,11.8,10.3,6,8.65,7.24,9.21,16,23.1,27.1,40.9,39.8,30.9,39.9
Greece,554,589,562,549,595,550,640,708,943,1070,1260,1420,1620,1850,1860,1620
Grenada,82.9,88.3,95.3,106,139,177,231,187,177,158,197,217,212,214,227,198
Guatemala,19.3,19,23.7,35.4,39,37.7,38.8,38.6,42.3,42.1,46,56.5,61.4,68.5,68.8,68.7
Guinea,5.54,5.24,5.33,4.2,4.35,3.93,4.31,4.56,5.23,3.71,1.83,2.16,1.82,3.6,2.06,2.6
Guinea-Bissau,6.31,6.15,5.37,3.82,2.69,1.74,1.49,3.96,4.7,3.39,3.74,3.65,4.44,5.07,5.08,4.7
Guyana,32.9,36.2,40.9,39.4,33.9,44.8,43.4,46.1,44.2,58.8,66.6,76.8,69.8,139,144,136
Haiti,9.24,9.09,9.68,9.15,8.17,7.12,5.88,4.29,3.02,4.16,4.17,6.98,8.24,8.92,8.73,9.95
Honduras,20.4,17.6,19.2,25.8,25.9,41.5,43.6,47.4,59,55.4,53.6,54.3,62.8,70.8,89.2,
Hungary,271,257,251,251,250,231,259,348,502,588,657,659,720,794,667,654
Iceland,1870,1900,2250,2250,2680,2470,2180,2660,3300,3720,4350,4240,5120,4120,3040,3000
India,4.1,4.08,4.61,4.71,5.1,5.08,4.99,4.88,5.39,6.01,7.32,8.21,10.4,11.9,13.4,15.8
Indonesia,7.08,8.17,7.12,3.26,5.25,5.47,7.15,7.61,10.7,10.7,11.5,16.4,23.1,24.8,26,37.7
Iran,30.5,40.8,53.4,65.1,75.3,96.2,128,44.8,44.3,50.8,69,80.8,98.1,128,118,127
Iraq,,0.03,0.04,0.3,0.48,0.39,0.43,0.27,8.32,45,41.7,42.1,75,120,157,200
Ireland,897,950,1050,1090,1170,1170,1390,1680,2220,2670,2840,3010,3500,4020,3530,2930
Israel,887,981,1000,917,873,932,950,865,860,881,898,930,1030,1250,1210,1320
Italy,1020,1150,1140,1160,1160,1130,1200,1330,1630,1950,2070,2180,2370,2690,2590,2520
Jamaica,50.8,73.9,99.9,103,81.3,99.7,77.3,103,82.1,104,83.2,102,120,146,126,132
Japan,2380,2140,1920,1790,2100,2290,2080,1990,2170,2350,2390,2220,2260,2630,3090,3360
Jordan,79,79,85,89.6,85.6,81.3,87.5,92.9,91.8,107,108,120,151,204,262,242
Kazakhstan,30.9,36.9,43,44.9,25.7,25.9,29.2,32,41.5,65.8,94.9,122,121,193,193,234
Kenya,6.52,7.11,7.25,9.47,7.08,8.81,8.37,7.76,8.51,8.33,9.69,11.5,13.6,13.1,15.4,16.3
Kiribati,66.9,76.1,77.9,55.1,72.2,60.9,62.6,71,96.1,112,109,105,148,144,134,131
Kuwait,515,533,534,515,473,370,510,524,583,596,678,789,787,874,1350,983
Kyrgyz Republic,12.9,12.3,10.7,12,7.41,5.73,6.03,6.9,7.89,10,11.6,16.5,23.9,27.3,30.3,30.1
Lao,9.11,10.2,12.7,6.96,3.21,3.8,3.61,3.46,4.59,3.36,2.58,3.11,3.31,9.55,11.1,15.4
Latvia,76.4,81.3,89.3,104,115,107,110,129,156,219,252,379,536,609,466,439
Lebanon,102,123,152,149,143,148,162,186,170,195,198,190,212,241,259,255
Lesotho,17.1,16.9,14.4,14.1,13.4,13.6,15.5,12.5,19.3,23.8,21.9,28.6,42.5,46.5,55.7,83
Liberia,,,,2.03,2.49,2.63,2.86,1.92,1.56,1.96,2.67,3.37,5.88,9.07,9.66,9.49
Libya,92.8,91.5,90.3,111,108,124,143,118,121,129,138,147,224,330,283,333
Lithuania,73.9,92,118,146,145,148,160,197,267,253,302,384,529,677,614,574
Luxembourg,2600,2610,2290,2390,2580,2960,2850,3580,4170,5180,5470,5940,6410,6770,6940,6910
Madagascar,3.61,5.5,5.25,4.98,4.88,6.23,7.58,6.95,7.34,5.99,6.92,7.92,10.6,14.9,11.5,9.59
Malawi,2.64,2.86,4.13,3.1,3.7,4.31,3.3,6.56,9.14,12,13,14.6,12.7,13.3,16.5,15.4
Malaysia,74.7,84.2,72.9,56.8,62.9,73.5,84.3,89.3,114,108,97.9,129,143,169,176,204
Maldives,58.8,63.9,69.5,72.1,81.9,94.8,88.5,87.7,110,133,174,207,222,316,216,231
Mali,7.53,8.54,6.58,5.85,4.87,4.87,7.45,6.75,9.4,12.1,11.7,12.8,14.2,15.6,15.6,14.8
Malta,399,437,442,466,459,466,468,584,752,855,957,1000,1060,1040,1080,1110
Marshall Islands,310,353,352,328,320,410,355,356,320,351,350,384,409,391,454,433
Mauritania,17.4,11.4,11.7,14.2,18.7,16.1,11.7,16.2,15.2,18.6,18.6,19.1,22.4,24.4,20,22.7
Mauritius,70.3,73.2,68.9,69.5,68.2,75.5,75.3,85.1,99.5,120,111,110,114,134,142,187
Mexico,74.2,75.8,99.9,108,132,153,167,174,175,199,215,233,256,281,253,
"Micronesia, Fed. Sts.",180,165,140,132,146,160,179,166,204,217,258,254,259,277,305,334
Moldova,19.3,26.4,27.4,17.4,8.16,11.4,13.1,18.5,21.8,30.1,34.7,44.9,60.5,91.4,92.4,87.2
Monaco,2580,2480,2350,2330,2460,2120,2170,2400,3440,4050,4230,4350,4910,5870,5860,5570
Mongolia,15.4,17.6,15.4,15.1,14.7,17.7,19.9,21.5,21.8,26,26.3,33.8,48.5,68.1,53,66.2
Montenegro,98.5,72.1,72,73.7,71.6,80.7,110,120,181,207,217,242,317,404,443,389
Morocco,15.4,16.4,13.8,16.1,16.1,15.8,18.5,18.9,23.4,27.1,28.1,36.6,45.6,54.3,58.7,56.2
Mozambique,4.88,5.13,6.68,7.42,9.12,10.2,8.65,9.82,9.72,9.91,13.6,13.2,13,12.9,16.8,15.3
Myanmar,0.49,0.4,0.28,0.2,0.27,0.45,0.31,0.46,0.49,0.667,0.46,0.836,0.882,1.18,1.62,2.09
Namibia,93.7,97.6,102,93.4,93.5,86.9,63.6,60.9,91.4,104,125,118,154,150,163,211
Nauru,431,390,354,300,302,271,252,276,322,291,302,315,412,431,408,489
Nepal,1.6,1.67,2.23,2.38,2.1,2.48,3.55,3.58,3.54,4.75,5.73,7.03,6.96,8.9,9.6,9.9
Netherlands,1600,1460,1340,1330,1320,1210,1300,1500,1980,2240,2330,3050,3480,3940,4550,4430
New Zealand,917,980,1000,866,894,820,804,969,1260,1570,1820,1840,2220,2340,2240,2730
Nicaragua,37.2,34.5,23.4,26.2,23.7,29,29.5,30,34.8,36.7,40.2,42.9,50.8,57.7,57,
Niger,2.81,2.54,2.96,3.29,3.08,2.32,2.99,3.37,3.66,4.26,7.72,8.6,8.18,10.1,9.55,9.3
Nigeria,9.31,10.6,12.5,15.9,4.7,5.72,5.7,4.55,8.6,14.7,15.5,20.1,26.8,32.6,23.4,23.8
North Macedonia,118,119,107,120,98.1,90.1,85.2,103,128,141,147,164,176,223,207,202
Norway,2510,2570,2450,2590,2750,2600,2790,3460,4130,4540,4960,5230,6150,6800,6340,6790
Oman,187,199,192,186,199,216,216,232,243,254,272,278,323,366,410,460
Pakistan,3.88,4.08,3.68,3.12,2.97,3.16,2.67,4.17,3.65,4.32,4.81,6.38,6.92,7.39,6.99,8.38
Palau,527,616,607,494,505,532,536,514,538,633,610,662,691,651,666,657
Panama,155,158,176,182,180,208,203,222,209,254,249,246,255,341,422,463
Papua New Guinea,31,33.4,27.2,23.4,22.1,21.2,20.9,19.2,19.9,24.9,24.6,23.7,23.1,30.1,30.9,35.4
Paraguay,40.3,50.6,48.3,49.7,48.6,49.5,37.3,26,23.2,27.8,31.2,41.6,49.2,66.3,57.4,59.3
Peru,54.9,56.8,54.3,57,55.7,56.8,55.8,59.2,60.4,65.7,76.3,84.3,113,160,136,145
Philippines,14.6,17,17.7,13.4,15.7,16,12.8,11.3,13.3,14,16.5,17.1,19.9,20.9,23.2,27.3
Poland,145,177,166,174,179,173,210,234,248,282,343,388,508,703,600,666
Portugal,547,613,586,626,666,704,716,805,1030,1190,1260,1270,1440,1550,1600,1610
Qatar,377,429,467,424,424,473,554,632,1260,1350,1380,1350,1320,1300,1260,1150
Romania,39.9,38.8,52.6,52.9,53.9,58.6,64.2,79.6,124,143,204,231,342,424,341,334
Russia,83.5,105,137,79,47.7,57.5,69.8,83.7,98,127,172,231,313,361,302,326
Rwanda,3.77,4.43,5.39,7.29,5.05,3.54,4.22,4.21,6.97,7.73,10.3,16.5,17.2,20.9,25.1,27.8
Samoa,39.6,51.6,56.4,54.1,62.8,60.6,58.3,65.4,73.5,86.5,92.7,110,142,144,132,179
San Marino,1830,2010,1850,1940,2060,1860,1880,2580,2430,2910,2910,2940,3310,3600,3290,3120
Sao Tome and Principe,21.6,19.4,19.3,14.7,20.5,19.6,19.1,21.4,39.9,37,43.3,32.3,33,35.6,37.3,34.5
Saudi Arabia,119,136,152,147,231,287,288,272,278,286,339,401,409,375,380,427
Senegal,7.46,8.75,7.56,8.06,8.96,7.85,8.4,10.4,13.9,16.2,23.9,28,31.7,35.5,32.5,32.5
Serbia,55.1,91,104,82.2,89.9,42,78.8,130,163,189,203,234,336,417,357,338
Seychelles,300,312,372,348,356,311,309,330,373,401,411,428,381,332,280,339
Sierra Leone,3.02,3.18,3.3,2.11,3.05,3.18,4,4.48,4.73,3.2,4.38,4.01,2.82,4.58,4.75,4.82
Singapore,368,375,367,379,332,298,273,241,320,283,302,323,367,458,553,629
Slovak Republic,196,225,211,215,196,186,193,228,318,417,466,520,720,948,968,930
Slovenia,610,619,598,647,664,614,646,734,904,1030,1080,1160,1320,1660,1640,1590
Solomon Islands,43.9,43,46,39.9,43,45.8,58.7,46,42.2,42.6,68,59,63.9,65.8,95.5,99.6
Somalia,2.01,2.19,2.62,3.42,3.34,3.04,1.72,,,,,,,,,
South Africa,107,97.4,111,104,108,102,90.5,81.5,126,151,175,184,202,203,228,286
South Korea,170,206,202,153,212,,296,319,365,415,526,659,762,692,689,848
Spain,814,852,769,799,816,745,771,859,1210,1410,1520,1670,1950,2270,2230,2100
Sri Lanka,11.5,12.1,12.3,15.8,14.4,15.8,14.3,14.8,16,20.6,23.4,27.9,29.4,31.7,30.1,31.3
St. Kitts and Nevis,172,178,184,194,204,234,223,212,202,193,212,298,292,270,258,405
St. Lucia,116,135,121,133,138,143,151,151,146,160,164,198,195,239,294,282
St. Vincent and the Grenadines,93.2,98,106,99.5,106,113,118,138,143,145,150,179,202,251,241,240
Sudan,2.08,2.77,3.09,3.22,2.4,3.32,3.72,4.22,5.54,7.59,9.77,14.9,23.1,32,25.9,25
Suriname,42.6,61.3,69.1,95,77.5,74,62.6,79.9,87.7,100,125,165,171,186,238,235
Swaziland,49.9,49.8,48,44.1,44.3,42.4,36.6,34.5,63.6,68.9,82,97.6,97.9,104,112,129
Sweden,1980,2230,1970,2000,2050,1940,1840,2110,2680,2980,3020,3190,3670,3970,3540,3820
Switzerland,2290,2320,2030,2110,2110,1950,2110,2390,2880,3210,3310,3290,3590,4160,4290,4610
Syria,20.5,21.1,20.9,21.7,22.5,23.9,25.5,26.2,29.1,29.1,31.6,32.2,38.9,41.8,43.9,44.4
Tajikistan,1.27,2.31,2.48,2.5,1.85,1.32,1.65,1.76,2.23,3.06,4.1,4.9,6.67,10.6,10.8,13.1
Tanzania,2.69,2.86,3.86,4.06,3.83,4.38,4.77,4.61,5.88,5.18,6.87,13.8,15,16.5,17.9,20.8
Thailand,46.8,54.7,53.4,37.1,37.7,37,33.8,46.1,49.9,55.7,60.4,78.2,99.1,121,119,134
Timor-Leste,31.3,23.6,38.5,24.7,22.2,23.9,25.5,24.4,26.1,28.1,39.4,44.2,43,44.4,42.6,31.7
Togo,5.99,5.95,5.25,6.01,5.01,4.08,3.33,2.64,4.66,6.16,7.41,8.99,9.62,13.2,17.6,18
Tonga,56.4,63.8,66.8,62.5,75.2,64.5,72.6,69.9,88.1,95.3,146,138,174,176,115,140
Trinidad and Tobago,94.3,90.1,86.7,68.5,100,106,133,168,208,233,364,371,387,444,514,516
Tunisia,64.1,65.3,61.1,64,66.2,67.2,65.5,67.3,80,92.5,93.3,101,113,133,133,129
Turkey,67.2,80.7,93,111,114,129,105,133,174,221,259,301,375,455,432,510
Turkmenistan,26,12.6,21.5,22.8,20.7,35.9,42.9,46,66.6,73.2,73.1,68.9,74.2,41.1,54.7,63
Tuvalu,64.3,152,117,120,136,231,245,238,410,370,402,447,475,623,402,568
Uganda,4.47,4.65,5,4.26,4.91,4.19,4.64,5.2,5.28,5.92,7.26,7.02,7.33,7.79,9.59,10.2
Ukraine,30,34.3,34,29.7,18.8,18.5,24.1,31,42.5,53.1,70,89.8,121,150,110,133
United Arab Emirates,583,580,588,565,559,577,638,578,611,588,608,659,718,1010,1310,1080
United Kingdom,1140,1190,1240,1330,1420,1390,1440,1640,1940,2390,2550,2780,3160,3130,2900,2940
United States,1680,1750,1810,1840,1920,2030,2230,2410,2610,2790,2950,3170,3360,3550,3800,4440
Uruguay,410,362,258,288,461,422,380,239,178,172,219,262,307,460,514,669
Uzbekistan,15.8,21.8,20.6,18.2,19.6,14,11.8,9.26,9.46,10.6,12.6,15.9,19.3,26.3,33.1,39.1
Vanuatu,31.7,26.6,35.8,44.8,39,40.2,38,39.3,43.4,45.8,44.4,50.8,77.5,98,110,143
Venezuela,61.2,45,51.8,57.1,85.8,114,120,81.7,72.5,99,128,162,222,269,276,232
Vietnam,4.92,5.36,5.66,6.12,6.32,6.47,7.21,6.83,8.15,8.37,9.84,15.3,23.4,23.8,28.9,31.4
Yemen,12.4,11,9.44,10.1,10.8,13.6,14.3,14.2,16.6,14.5,14.3,16.3,17.1,21.1,16.8,15.3
Zambia,13.2,13,16.8,13.6,9.02,9.23,11.7,14.7,16.2,18.4,24.1,35,31.1,43.2,36.7,43.9
Zimbabwe,28.1,29.4,30.1,29.4,17.6,31.5,25.4,,,,,,,,,
